PropertyOrGLLossesInLast3Years,LeadOrMoldIssues,TranBackDt,OccupancyTypeCat,ConstructionTypeCat,TotalSquareFeet,CommercialSquareFeet,YearBuilt,NumberOfStories,PercentageOccupied,AnyBuildingViolations,Mercantile,RenovationGutRehabEverDone,BuildingLimit,RentLimit,OnboardResp
0,0,1,2,1,4000,0,1950,3,100,0,0,0,800000,100000,0
0,0,1,2,1,3300,0,1920,2,100,0,0,0,800000,60000,0
0,0,1,2,1,3375,0,1931,3,100,0,0,0,800000,195000,0
0,0,1,2,1,3375,0,1969,3,100,0,0,0,800000,100000,0
0,0,0,2,1,3000,0,1975,3,100,0,0,0,800000,120000,1
0,0,0,2,1,3585,1240,1930,3,100,0,1,0,806625,111600,1
0,0,0,2,1,4500,0,1935,3,100,0,0,0,810000,108000,1
0,0,0,3,1,3280,0,1923,2,100,0,0,0,818800,40000,1
0,0,0,3,1,2000,0,1905,2,100,0,0,0,825000,40000,1
0,0,0,3,1,2868,0,1920,2,100,0,0,0,825000,0,1
0,0,0,2,1,2949,0,1910,3,100,0,0,0,825000,58000,1
0,0,0,3,1,4800,0,1900,4,100,0,0,0,840000,84000,1
0,0,0,2,1,4228,0,1909,3,0,0,0,0,845000,200000,1
0,0,0,2,1,3375,0,1931,3,100,0,0,0,850000,195000,1
0,0,0,2,1,3300,0,1910,3,100,0,0,0,850000,25000,1
0,0,0,4,1,3300,0,1970,3,100,0,0,0,850000,10000,1
0,5,1,2,1,4240,1060,1910,4,100,0,1,0,850000,85000,0
0,0,0,2,1,3400,0,1900,4,100,0,0,0,850000,30000,1
0,0,0,2,1,3375,0,1931,3,100,0,0,0,850000,195000,1
0,0,1,2,1,2900,0,1962,3,100,0,0,0,850000,75000,0
0,0,0,3,1,4000,0,1950,3,100,0,0,0,850000,50000,1
0,0,0,2,1,2552,0,1931,4,100,0,0,0,850000,100000,1
0,0,0,2,1,2560,0,1900,3,100,0,0,0,850000,15000,1
0,0,0,2,1,4250,700,1905,4,100,0,1,0,850000,0,1
0,0,1,2,1,2500,0,1955,3,100,0,0,0,850000,170000,0
0,0,0,2,3,3060,800,1910,4,100,0,1,1,850000,60000,1
0,0,1,2,1,4300,1075,1925,3,100,0,1,0,850000,100000,0
0,0,0,3,1,3360,0,1960,2,100,0,0,0,850000,0,1
0,0,1,4,1,4560,0,2012,3,100,0,0,1,850000,25000,0
5,0,1,2,3,5000,0,1899,3,100,0,0,0,860000,0,0
0,0,0,2,1,3198,0,1930,2,100,0,0,0,860000,110400,1
0,0,0,3,1,3480,0,1905,2,100,0,0,0,870000,10000,1
0,0,1,3,1,4008,0,1925,3,100,0,0,1,875000,100000,0
0,0,0,2,1,2864,0,1900,3,100,0,0,0,875000,28200,1
0,0,1,2,1,3787,0,1931,4,100,0,0,0,875000,145000,0
0,0,1,2,1,2850,0,1915,3,100,0,0,0,875000,87000,0
0,0,0,2,1,4400,0,1920,4,100,0,0,0,880000,180000,1
0,0,0,4,1,4400,0,2018,4,100,0,0,0,880000,25000,1
0,0,0,2,1,3000,0,1961,2,100,0,0,0,884000,96000,1
0,0,0,2,1,2760,0,1901,2,100,0,0,0,892000,96000,1
0,0,0,3,1,5183,0,1920,3,100,0,0,0,892000,148000,1
0,0,0,3,1,5200,0,1960,3,100,0,0,0,895000,25000,1
0,0,0,3,1,5200,0,1901,3,100,0,0,0,895000,80000,1
0,0,1,2,1,4917,0,1931,3,100,0,0,0,896000,100000,0
1,0,0,2,1,3040,0,1899,3,100,0,0,0,897600,25800,0
5,0,1,2,1,2820,0,1999,3,100,0,0,0,900000,153000,0
0,0,0,2,3,3240,0,1965,3,100,0,0,0,900000,50000,1
0,0,1,2,1,4680,0,1989,3,100,0,0,0,900000,50000,0
0,0,0,2,1,2820,0,1999,0,100,0,0,0,900000,0,1
0,0,1,2,1,4500,1000,2006,4,100,0,1,0,900000,120000,0
0,0,1,2,1,4800,0,1950,3,100,0,0,0,900000,70000,0
